,vendor_name,address_line_1,city,state,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
1,Zenyai,"208 Grand Street",Brooklyn,"New York",11211,40.713967,-73.960303,1,rooftop,208,"Grand St",,,Brooklyn,NY,"Kings County",11211,US,"City of New York"
2,"1 Call Building Maintenance Corp.","946 Atlantic Ave",Brooklyn,"New York",11238,40.68062,-73.962934,1,rooftop,946,"Atlantic Ave",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
3,"1 Of A Kind Home Health Care L.L.C.","148 George Street",Brooklyn,"New York",11237,40.703938,-73.928742,1,rooftop,148,"George St",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
4,"Venus Fire Protection and Safety Service","159 21st Street",Brooklyn,"New York",11232,40.663141,-73.996188,1,rooftop,159,"21st St",,,Brooklyn,NY,"Kings County",11232,US,"City of New York"
5,"1 Wise Podiatry Care P C","3079 Brighton 13th st",Brooklyn,"New York",11235,40.57846,-73.956437,1,rooftop,3079,"Brighton 13th St",,,Brooklyn,NY,"Kings County",11235,US,"City of New York"
6,"100 Cleaners Inc.","3049 Brighton 6th Street",Brooklyn,"New York",11235,40.578362,-73.961635,1,rooftop,3049,"Brighton 6th St",,,Brooklyn,NY,"Kings County",11235,US,"City of New York"
7,"7 Leaf Clover","100 North 3rd",Brooklyn,"New York",11249,40.716613,-73.961966,1,rooftop,100,"N 3rd St",,,Brooklyn,NY,"Kings County",11249,US,"City of New York"
8,"Forty Love","587 Riverside Drive, apt 4d",Brooklyn,"New York",10031,40.82146,-73.956835,1,rooftop,587,"Riverside Dr",Apt,4D,"New York",NY,"New York County",10031,US,"City of New York"
9,"170 Ashland Place Inc.","420 Carlton Ave",Brooklyn,"New York",11238,40.68464,-73.971318,1,rooftop,420,"Carlton Ave",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
10,"1-800 Mr. Rubbish Inc.","1033 86th Street",Brooklyn,"New York",11228,40.61772,-74.019479,1,rooftop,1033,"86th St",,,Brooklyn,NY,"Kings County",11228,US,"City of New York"
11,"1Star-Networks LLC","1140 East 92nd Street",Brooklyn,"New York",11236,40.641585,-73.905356,1,rooftop,1140,"E 92nd St",,,Brooklyn,NY,"Kings County",11236,US,"City of New York"
12,"2 SAAB Construction Inc.","3084 Coney Island Avenue",Brooklyn,"New York",11235,40.580916,-73.96009,1,rooftop,3084,"Coney Island Ave",,,Brooklyn,NY,"Kings County",11235,US,"City of New York"
13,"2021 Trucking Inc.","111 Broadway",Brooklyn,"New York",11249,40.710516,-73.964446,1,rooftop,111,Broadway,,,Brooklyn,NY,"Kings County",11249,US,"City of New York"
14,"24/7 HomeCare Agency of NY, Inc","2414 Ralph Avenue",Brooklyn,"New York",11234,40.619126,-73.917424,1,rooftop,2414,"Ralph Ave",,,Brooklyn,NY,"Kings County",11234,US,"City of New York"
15,"24/7 HomeCare Agency of NY, Inc","2414 Ralph Avenue",Brooklyn,"New York",11234,40.619126,-73.917424,1,rooftop,2414,"Ralph Ave",,,Brooklyn,NY,"Kings County",11234,US,"City of New York"
16,2Jobs”N”AHustle,"988 Blake Ave",Brooklyn,"New York",11208,40.669577,-73.881907,1,rooftop,988,"Blake Ave",,,Brooklyn,NY,"Kings County",11208,US,"City of New York"
17,"360 Gateway Brand Management","1127 Grant Ave, 2nd Floor",Brooklyn,"New York",11208,40.661862,-73.86169,1,rooftop,1127,"Grant Ave",Fl,2,Brooklyn,NY,"Kings County",11208,US,"City of New York"
18,"360 Gateway Brand Management","1127 Grant Ave, 2nd Floor",Brooklyn,"New York",11208,40.661862,-73.86169,1,rooftop,1127,"Grant Ave",Fl,2,Brooklyn,NY,"Kings County",11208,US,"City of New York"
19,"4 Pair Communications LLC","474 Hemlock Street",Brooklyn,"New York",11208,40.677809,-73.869778,1,rooftop,474,"Hemlock St",,,Brooklyn,NY,"Kings County",11208,US,"City of New York"
20,"40 Six Four Architecture Design Studio, PLLC","645 East 26th Street",Brooklyn,"New York",11210,40.634698,-73.952026,1,rooftop,645,"E 26th St",,,Brooklyn,NY,"Kings County",11210,US,"City of New York"
21,"41 Flatbush Ave","41 Flatbush Ave",Brooklyn,"New York",11217,40.687416,-73.979668,1,rooftop,41,"Flatbush Ave",,,Brooklyn,NY,"Kings County",11217,US,"City of New York"
22,"4A Construction Corp.","646 Coney Island Ave",Brooklyn,"New York",11218,40.641625,-73.969683,1,rooftop,646,"Coney Island Ave",,,Brooklyn,NY,"Kings County",11218,US,"City of New York"
23,"Nappy Head Club","419 Classon Avenue",Brooklyn,"New York",11238,40.68653,-73.959401,1,rooftop,419,"Classon Ave",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
24,"5 Star Wireless Solutions Inc.","858 Bedford Avenue Suite 6-B",Brooklyn,"New York",11205,40.695478,-73.956508,1,rooftop,858,"Bedford Ave",Apt,6B,Brooklyn,NY,"Kings County",11205,US,"City of New York"
25,"593 Park Place Management Inc.","593 Park Place",Brooklyn,"New York",11238,40.674668,-73.958328,1,rooftop,593,"Park Pl",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
26,"610 Collective LLC","86 Fleet Place Suite 5A",Brooklyn,"New York",11201,40.693214,-73.981916,1,rooftop,86,"Fleet Pl",Apt,5A,Brooklyn,NY,"Kings County",11201,US,"City of New York"
27,Noryan,"114 E 94th St",Brooklyn,"New York",11212,40.662435,-73.92587,1,rooftop,114,"E 94th St",,,Brooklyn,NY,"Kings County",11212,US,"City of New York"
28,"71AteChef, LLC.","475 Park Avenue",Brooklyn,"New York",11205,40.696746,-73.957962,1,rooftop,475,"Park Ave",,,Brooklyn,NY,"Kings County",11205,US,"City of New York"
29,"745 ELECTRIC INC.","128 10th st",Brooklyn,"New York",11215,40.671708,-73.993693,1,range_interpolation,128,"10th St",,,Brooklyn,NY,"Kings County",11215,US,"TIGER/Line® dataset from the US Census Bureau"
30,"816 New York, LLC","25 Parade Place",Brooklyn,"New York",11226,40.65242,-73.965513,1,rooftop,25,"Parade Pl",,,Brooklyn,NY,"Kings County",11226,US,"City of New York"
31,"99EATS, LLC","37 Box Street",Brooklyn,"New York",11216,40.737423,-73.954975,0.99,rooftop,37,"Box St",,,Brooklyn,NY,"Kings County",11222,US,"City of New York"
32,"9tofive LLC","178 Lefferts Place",Brooklyn,"New York",11238,40.680375,-73.957058,1,rooftop,178,"Lefferts Pl",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
33,"A & S Unique Builders, Corp.","8697 24th Avenue",Brooklyn,"New York",11214,40.597129,-73.991302,1,rooftop,8697,"24th Ave",,,Brooklyn,NY,"Kings County",11214,US,"City of New York"
34,"A I N Contracting Corp","476 Lake Street",Brooklyn,"New York",11223,40.592342,-73.975025,1,rooftop,476,"Lake St",,,Brooklyn,NY,"Kings County",11223,US,"City of New York"
35,"A Martin & Industries, LLC","492 Lefferts Avenue",Brooklyn,"New York",11225,40.662553,-73.944809,1,rooftop,492,"Lefferts Ave",,,Brooklyn,NY,"Kings County",11225,US,"City of New York"
36,"A Rose Grows LLC","1252 East 98th Street",Brooklyn,"New York",11236,40.641509,-73.897094,1,rooftop,1252,"E 98th St",,,Brooklyn,NY,"Kings County",11236,US,"City of New York"
37,"A&M Cleaning Service","1500 Hornell Loop",Brooklyn,"New York",11239,40.644142,-73.88032,1,rooftop,1500,"Hornell Loop",,,Brooklyn,NY,"Kings County",11239,US,"City of New York"
38,"A.J. Archer Construction & Management Corp.","1157 Bedford Avenue",Brooklyn,"New York",11216,40.683938,-73.953867,1,rooftop,1157,"Bedford Ave",,,Brooklyn,NY,"Kings County",11216,US,"City of New York"
39,"A.M.J Electric Corp","495 Flatbush Ave #35",Brooklyn,"New York",11225,40.662206,-73.961558,1,rooftop,495,"Flatbush Ave",#,35,Brooklyn,NY,"Kings County",11225,US,"City of New York"
40,"A+ Therapy LLC","9701 Shore Road",Brooklyn,"New York",11209,40.614745,-74.037323,1,rooftop,9701,"Shore Rd",,,Brooklyn,NY,"Kings County",11209,US,"City of New York"
41,"A1 Expediting Service Corp.","812 Wyckoff Ave",Brooklyn,"New York",11237,40.697946,-73.908447,1,rooftop,812,"Wyckoff Ave",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
42,"AAA Cleaning Services Inc","1202 Ave U",Brooklyn,"New York",11229,40.598315,-73.959949,1,rooftop,1202,"Ave U",,,Brooklyn,NY,"Kings County",11229,US,"City of New York"
43,"AAA Healthsource, Inc.","2365 Nostrand Avenue",Brooklyn,"New York",11210,40.627156,-73.946781,1,rooftop,2365,"Nostrand Ave",,,Brooklyn,NY,"Kings County",11210,US,"City of New York"
44,"Aamway Service Co., Inc.","1844 83rd Street",Brooklyn,"New York",11214,40.608062,-73.999622,1,rooftop,1844,"83rd St",,,Brooklyn,NY,"Kings County",11214,US,"City of New York"
45,"Aaron Valuation Inc.","One Hanson Place",Brooklyn,"New York",11243,40.685264,-73.977664,0.96,rooftop,1,"Hanson Pl",,,Brooklyn,NY,"Kings County",11217,US,"City of New York"
46,"Aarons Law Office PLLC","1894 Fulton Street",Brooklyn,"New York",11233,40.678852,-73.92353,1,rooftop,1894,"Fulton St",,,Brooklyn,NY,"Kings County",11233,US,"City of New York"
47,"Studio A/B","333 Schermerhorn Street",Brooklyn,"New York",11217,40.687204,-73.981131,1,rooftop,333,"Schermerhorn St",,,Brooklyn,NY,"Kings County",11217,US,"City of New York"
48,"Wild Stone","1000 Dean Street, Suite 101",Brooklyn,"New York",11238,40.677805,-73.957119,1,rooftop,1000,"Dean St",Ste,101,Brooklyn,NY,"Kings County",11238,US,"City of New York"
49,"Abco Trade Inc.","1 Middleton Street #3L",Brooklyn,"New York",11206,40.700003,-73.955977,1,rooftop,1,"Middleton St",Apt,3L,Brooklyn,NY,"Kings County",11206,US,"City of New York"
50,"Aunt Butchies","8118 13th Ave",Brooklyn,"New York",11228,40.616668,-74.011427,1,rooftop,8118,"13th Ave",,,Brooklyn,NY,"Kings County",11228,US,"City of New York"
51,"Abdul Construction & Painting, Corp.","210 East 7th Street",Brooklyn,"New York",11218,40.646859,-73.973534,1,rooftop,210,"E 7th St",,,Brooklyn,NY,"Kings County",11218,US,"City of New York"
