,vendor_name,address_line_1,city,state,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
1,"5D Architecture and Engineering PLLC","137-58 Thurston Street",Queens,"New York",11413,40.673237,-73.760262,1,rooftop,137-58,"Thurston St",,,"Springfield Gardens",NY,"Queens County",11413,US,"City of New York"
2,"ABS Contracting NY Corp.","130-29 129th Street",Queens,"New York",11420,40.671413,-73.80967,1,rooftop,130-29,"129th St",,,"South Ozone Park",NY,"Queens County",11420,US,"City of New York"
3,"AmmaluIT Corp","31-00 47th avenue",Queens,"New York",11101,40.742853,-73.935366,0.99,rooftop,31-,"47th Ave",,,"Long Island City",NY,"Queens County",11101,US,"City of New York"
4,"Antoine Cole Consulting","431 Beach 35 Street",Queens,"New York",11691,40.597114,-73.768,1,range_interpolation,431,"Beach 35th St",,,"Far Rockaway",NY,"Queens County",11691,US,"TIGER/Line® dataset from the US Census Bureau"
5,"Assertive Staffing Services, Inc","148-67 Edgewood St",Queens,"New York",11422,40.652982,-73.740214,1,rooftop,148-67,"Edgewood St",,,Rosedale,NY,"Queens County",11422,US,"City of New York"
6,"Assertive Staffing Services, Inc","148-67 Edgewood St",Queens,"New York",11422,40.652982,-73.740214,1,rooftop,148-67,"Edgewood St",,,Rosedale,NY,"Queens County",11422,US,"City of New York"
7,"B&R Construction Services Corp","142-08 Horace Harding Expwy",Queens,"New York",11367,40.741623,-73.824766,1,rooftop,142-8,"Horace Harding Expy",,,Flushing,NY,"Queens County",11367,US,"City of New York"
8,"Bagiana Construction Inc.","94-37 212th Street",Queens,"New York",11428,40.716394,-73.746679,1,rooftop,94-37,"212th St",,,"Queens Village",NY,"Queens County",11428,US,"City of New York"
9,"BarDen LLC","133-33 Brookville Blvd.",Queens,"New York",11205,40.674139,-73.732684,0.9,rooftop,133-33,"Brookville Blvd",,,Rosedale,NY,"Queens County",11422,US,"City of New York"
10,"Body Mind and Soul BMS LLC","107-41 114th street",Queens,"New York",11419,40.682112,-73.826721,1,rooftop,107-41,"114th St",,,"South Richmond Hill",NY,"Queens County",11419,US,"City of New York"
11,"CIDP LLC","14-34 110thstr",Queens,"New York",11356,40.784563,-73.856946,1,rooftop,14-34,"110th St",,,"College Point",NY,"Queens County",11356,US,"City of New York"
12,"Citi Termite Control Inc","153-18 122nd Avenue",Queens,"New York",11434,40.677037,-73.78768,1,rooftop,153-18,"122nd Ave",,,Jamaica,NY,"Queens County",11434,US,"City of New York"
13,"Competent Safety Consulting, LLC","36-27 31st st.",Queens,"New York",11106,40.755716,-73.930221,1,rooftop,36-27,"31st St",,,Astoria,NY,"Queens County",11106,US,"City of New York"
14,"Creative Touch LLC","108-05 Astoria Blvd",Queens,"New York",11369,40.760557,-73.860691,1,rooftop,108-5,"Astoria Blvd",,,"East Elmhurst",NY,"Queens County",11369,US,"City of New York"
