,vendor_name,address_line_1,city,state,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
1,"4 Angels Day Care Inc.","245 Simonson Avenue","Staten Island","New York",10303,40.630459,-74.152209,1,rooftop,245,"Simonson Ave",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
2,"5050 Skatepark LLC","354 Front Street","Staten Island","New York",10304,40.62805,-74.074489,1,rooftop,354,"Front St",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
3,"A  Plus Asbestos Investigation Inc","634 Katan Avenue","Staten Island","New York",10312,40.550332,-74.168174,1,rooftop,634,"Katan Ave",,,"Staten Island",NY,"Richmond County",10312,US,"City of New York"
4,"A C Security Management","396-B  Lake Avenue","Staten Island","New York",10303,40.626259,-74.152256,1,rooftop,396,"Lake Ave",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
5,"A Plus Tape & Packaging Supply, Co.","113 Maguire Avenue","Staten Island","New York",10309,40.528249,-74.210537,1,rooftop,113,"Maguire Ave",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
6,"A.S.A.R. International Corp.","491 Wild Avenue","Staten Island","New York",10314,40.586359,-74.196573,1,rooftop,491,"Wild Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
7,"A+ Expediting Inc.","531 Forest Avenue, suite 1R","Staten Island","New York",10310,40.630444,-74.107911,1,rooftop,531,"Forest Ave",Ste,1,"Staten Island",NY,"Richmond County",10310,US,"City of New York"
8,"Accord Enterprise Corp.","253 New Dorp Ln","Staten Island","New York",10306,40.572753,-74.113784,1,rooftop,253,"New Dorp Ln",,,"Staten Island",NY,"Richmond County",10306,US,"City of New York"
9,"ACT Care Group","1698 Victory Boulevard","Staten Island","New York",10314,40.613066,-74.120245,1,rooftop,1698,"Victory Blvd",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
10,"Adco Electrical Corp.","201 Edward Curry Avenue","Staten Island","New York",10314,40.610969,-74.183797,1,rooftop,201,"Edward Curry Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
11,"JAG Heating","102 St. Andrews Road","Staten Island","New York",10306,40.575631,-74.130406,1,rooftop,102,"St Andrews Rd",,,"Staten Island",NY,"Richmond County",10306,US,"City of New York"
12,"Afua Asamoah","490 Morningstar Road","Staten Island","New York",10303,40.626512,-74.148589,1,rooftop,490,"Morningstar Rd",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
13,"AJM contracting LLC","15-12 Drumgoole Road","Staten Island","New York",10309,40.558913,-74.169948,0.9,nearest_rooftop_match,12,"Drumgoole Rd E",,,"Staten Island",NY,"Richmond County",10312,US,"City of New York"
14,"Comfort Inn Staten Island","310 Wild Ave","Staten Island","New York",10314,40.58626,-74.190118,1,rooftop,310,"Wild Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
15,"Albion Sheet Metal","668 Richmond Road","Staten Island","New York",10304,40.610244,-74.089122,1,rooftop,668,"Richmond Rd",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
16,"Tiny Treasures Daycare","360 VANDUZER STREET","Staten Island","New York",10304,40.629478,-74.079573,1,rooftop,360,"Van Duzer St",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
17,"All Pro Electric Controls Corp.","166 East Industrial Loop","Staten Island","New York",10309,40.549995,-74.23102,1,rooftop,166,"Industrial Loop",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
18,"All Saints Enterprises LLC","600 Gulf Ave","Staten Island","New York",10314,40.615199,-74.179639,1,rooftop,600,"Gulf Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
19,"Alliance Tri-State Construction, Inc.","3635 Richmond Avenue","Staten Island","New York",10312,40.549416,-74.166953,1,rooftop,3635,"Richmond Ave",,,"Staten Island",NY,"Richmond County",10312,US,"City of New York"
20,"Alliance Tri-State Maintenance Corp","3635 Richmond Avenue","Staten Island","New York",10312,40.549416,-74.166953,1,rooftop,3635,"Richmond Ave",,,"Staten Island",NY,"Richmond County",10312,US,"City of New York"
21,"Alpha Medical Waste Removal Inc","156 Prescott Ave","Staten Island","New York",10306,40.577029,-74.109546,1,rooftop,156,"Prescott Ave",,,"Staten Island",NY,"Richmond County",10306,US,"City of New York"
22,"American & International Designs Inc.","1110 South Avenue","Staten Island","New York",10314,40.613817,-74.176828,1,rooftop,1110,"South Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
23,"AMR General Construction, Inc","426 Neckar Ave","Staten Island","New York",10304,40.608026,-74.084786,1,rooftop,426,"Neckar Ave",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
24,"Anaktora Mechanical LLC","460 Wild Avenue","Staten Island","New York",11314,40.58571,-74.196239,0.9,rooftop,460,"Wild Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
25,"AP Engineering P.C.","201 Arlington Avenue, Suite 2F","Staten Island","New York",10303,40.635379,-74.16736,1,rooftop,201,"Arlington Ave",Ste,2,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
26,"Apache Environmental","442 Northfield Ave","Staten Island","New York",10303,40.628863,-74.168912,1,rooftop,442,"Northfield Ave",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
27,"Areas Trans Inc","5230 Arthur Kill Road","Staten Island","New York",10307,40.515349,-74.244231,1,rooftop,5230,"Arthur Kill Rd",,,"Staten Island",NY,"Richmond County",10307,US,"City of New York"
28,"Areas Trans Inc","5230 Arthur Kill Road","Staten Island","New York",10307,40.515349,-74.244231,1,rooftop,5230,"Arthur Kill Rd",,,"Staten Island",NY,"Richmond County",10307,US,"City of New York"
29,"Arrowhead Enterprises Inc.","435 Northfield Avenue","Staten Island","New York",10303,40.628975,-74.168365,1,range_interpolation,435,"Northfield Ave",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
30,"ASC Builders Inc","3761 Hylan Blvd","Staten Island","New York",10308,40.547254,-74.140651,1,rooftop,3761,"Hylan Blvd",,,"Staten Island",NY,"Richmond County",10308,US,"City of New York"
31,"ASM Construction of NY Corp.","152 Watchogue Road","Staten Island","New York",10314,40.615395,-74.13443,1,rooftop,152,"Watchogue Rd",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
32,"Athletic Edge Sports Center","10 Nassau Pl","Staten Island","New York",10307,40.518071,-74.239601,1,rooftop,10,"Nassau Pl",,,"Staten Island",NY,"Richmond County",10307,US,"City of New York"
33,"Atlas Reporting, LLC","52 Salamander Court","Staten Island","New York",10309,40.538412,-74.223258,1,rooftop,52,"Salamander Ct",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
34,"Avalon Construction Corp","326 Doane Avenue","Staten Island","New York",10308,40.557526,-74.156404,1,rooftop,326,"Doane Ave",,,"Staten Island",NY,"Richmond County",10308,US,"City of New York"
35,"Awomi Naturals LLC","89 Arlington Ave","Staten Island","New York",10303,40.638081,-74.167173,1,rooftop,89,"Arlington Ave",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
36,"Axa Professionals LLC","723 Maguire Ave.","Staten Island","New York",10309,40.544496,-74.211841,1,rooftop,723,"Maguire Ave",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
37,"Barbara Young Medical Billing Services Inc","900 South Avenue","Staten Island","New York",10314,40.616788,-74.172705,1,rooftop,900,"South Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
38,"Beacon Land Services Inc.","623 North Railroad Avenue","Staten Island","New York",10304,40.58951,-74.095744,1,rooftop,623,"N Railroad Ave",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
39,"Ben's Handyman Inc.","22 Laredo Avenue","Staten Island","New York",10312,40.549626,-74.16826,1,rooftop,22,"Laredo Ave",,,"Staten Island",NY,"Richmond County",10312,US,"City of New York"
40,"BK2PR Catering, LLC","48 Francesca Lane","Staten Island","New York",10303,40.623935,-74.160624,1,rooftop,48,"Francesca Ln",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
41,"Blade Contracting Inc.","188 Van Buren Street","Staten Island","New York",10301,40.643989,-74.095172,1,rooftop,188,"Van Buren St",,,"Staten Island",NY,"Richmond County",10301,US,"City of New York"
42,"BMF Professional Services Inc.","29 Madan Court","Staten Island","New York",10314,40.620117,-74.15407,1,rooftop,29,"Madan Ct",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
43,"Bobby Restorations Inc.","62 Cooke Street","Staten Island","New York",10314,40.617133,-74.159221,1,rooftop,62,"Cooke St",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
44,"Bogat LLC","165 Trantor Place","Staten Island","New York",10302,40.629909,-74.143992,1,rooftop,165,"Trantor Pl",,,"Staten Island",NY,"Richmond County",10302,US,"City of New York"
45,"Boville Enterprises LLC","48 Dutchess Avenue","Staten Island","New York",10304,40.597088,-74.097653,1,rooftop,48,"Dutchess Ave",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
46,"Bravo Construction NY, Corp.","236 Nome Ave","Staten Island","New York",10314,40.586601,-74.158987,1,rooftop,236,"Nome Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
47,"Breen Bros Towing Inc.","566 Industrial Loop","Staten Island","New York",10309,40.546893,-74.230386,1,rooftop,566,"Industrial Loop",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
